# ================================
#  NWChem spectrum parser ver 2.1
# ================================
# 
# Parser runtime options: {'verbose': False, 'datafmt': 'auto', 'header': True, 'delim': '    ', 'width': 0.25, 'makespec': True, 'units': 'ev', 'nbin': 20, 'npoints': 2000, 'cchar': '#'}
#
# The input appears to contain TDDFT data.
# Successfully parsed 200 TDDFT singlet excitations
# Roots were Lorentzian broadened with width 0.25 eV 
# Spectrum generated with 2000 points.
#
#  Energy [eV]         Abs. [au]   
#----------------------------------
-4.8471000000e+00    2.3306720233e-10
-4.8393884000e+00    2.3378734591e-10
-4.8316768000e+00    2.3451083167e-10
-4.8239652000e+00    2.3523768030e-10
-4.8162536000e+00    2.3596791269e-10
-4.8085420000e+00    2.3670154985e-10
-4.8008304000e+00    2.3743861299e-10
-4.7931188000e+00    2.4024672207e-10
-4.7854072000e+00    2.4099709316e-10
-4.7776956000e+00    2.4175098448e-10
-4.7699840000e+00    2.4250841809e-10
-4.7622724000e+00    2.4326941621e-10
-4.7545608000e+00    2.4403400123e-10
-4.7468492000e+00    2.4480219573e-10
-4.7391376000e+00    2.4557402246e-10
-4.7314260000e+00    2.4634950435e-10
-4.7237144000e+00    2.4712866450e-10
-4.7160028000e+00    2.4791152622e-10
-4.7082912000e+00    2.4869811298e-10
-4.7005796000e+00    2.4948844844e-10
-4.6928680000e+00    2.5028255647e-10
-4.6851564000e+00    2.5108046110e-10
-4.6774448000e+00    2.5188218656e-10
-4.6697332000e+00    2.5268775730e-10
-4.6620216000e+00    2.5349719793e-10
-4.6543100000e+00    2.5431053327e-10
-4.6465984000e+00    2.5512778834e-10
-4.6388868000e+00    2.5594898837e-10
-4.6311752000e+00    2.5677415879e-10
-4.6234636000e+00    2.5760332521e-10
-4.6157520000e+00    2.5843651348e-10
-4.6080404000e+00    2.5927374966e-10
-4.6003288000e+00    2.6011505998e-10
-4.5926172000e+00    2.6096047093e-10
-4.5849056000e+00    2.6181000919e-10
-4.5771940000e+00    2.6266370167e-10
-4.5694824000e+00    2.6352157548e-10
-4.5617708000e+00    2.6438365798e-10
-4.5540592000e+00    2.6524997673e-10
-4.5463476000e+00    2.6612055953e-10
-4.5386360000e+00    2.6699543439e-10
-4.5309244000e+00    2.6787462958e-10
-4.5232128000e+00    2.6875817358e-10
-4.5155012000e+00    2.6964609511e-10
-4.5077896000e+00    2.7053842313e-10
-4.5000780000e+00    2.7143518684e-10
-4.4923664000e+00    2.7233641568e-10
-4.4846548000e+00    2.7324213934e-10
-4.4769432000e+00    2.7415238774e-10
-4.4692316000e+00    2.7506719107e-10
-4.4615200000e+00    2.7598657977e-10
-4.4538084000e+00    2.7691058452e-10
-4.4460968000e+00    2.7783923627e-10
-4.4383852000e+00    2.7877256622e-10
-4.4306736000e+00    2.7971060584e-10
-4.4229620000e+00    2.8065338687e-10
-4.4152504000e+00    2.8160094131e-10
-4.4075388000e+00    2.8255330142e-10
-4.3998272000e+00    2.8351049975e-10
-4.3921156000e+00    2.8447256912e-10
-4.3844040000e+00    2.8543954263e-10
-4.3766924000e+00    2.8641145366e-10
-4.3689808000e+00    2.8738833587e-10
-4.3612692000e+00    2.8837022321e-10
-4.3535576000e+00    2.8935714993e-10
