# ================================
#  NWChem spectrum parser ver 2.1
# ================================
# 
# Parser runtime options: {'verbose': False, 'datafmt': 'auto', 'header': True, 'delim': '    ', 'width': 1.5, 'makespec': True, 'units': 'ev', 'nbin': 20, 'npoints': 2000, 'cchar': '#'}
#
# The input appears to contain TDDFT data.
# Successfully parsed 100 TDDFT singlet excitations
# Roots were Lorentzian broadened with width 1.5 eV 
# Spectrum generated with 2000 points.
#
#  Energy [eV]         Abs. [au]   
#----------------------------------
6.9392212000e+03    1.6314170471e-11
6.9392548071e+03    1.6350760581e-11
6.9392884143e+03    1.6387473901e-11
6.9393220214e+03    5.2382988506e-11
6.9393556286e+03    5.2500672830e-11
6.9393892357e+03    5.2618754104e-11
6.9394228429e+03    1.0177255565e-10
6.9394564501e+03    1.0200148494e-10
6.9394900572e+03    1.0223118737e-10
6.9395236644e+03    1.0246166643e-10
6.9395572715e+03    1.4355552809e-10
6.9395908787e+03    1.4387931009e-10
6.9396244858e+03    2.1153983632e-10
6.9396580929e+03    2.1201693202e-10
6.9396917001e+03    2.1249564325e-10
6.9397253072e+03    2.1297597733e-10
6.9397589144e+03    2.1345794158e-10
6.9397925215e+03    2.1394154339e-10
6.9398261287e+03    2.1442679020e-10
6.9398597359e+03    2.1491368946e-10
6.9398933430e+03    2.1540224868e-10
6.9399269502e+03    2.1589247543e-10
6.9399605573e+03    2.1638437729e-10
6.9399941644e+03    2.1687796190e-10
6.9400277716e+03    2.1737323695e-10
6.9400613787e+03    2.1787021017e-10
6.9400949859e+03    2.1836888931e-10
6.9401285930e+03    2.1886928221e-10
6.9401622002e+03    2.1937139672e-10
6.9401958073e+03    2.1987524074e-10
6.9402294145e+03    2.2038082222e-10
6.9402630217e+03    2.2088814917e-10
6.9402966288e+03    2.2139722962e-10
6.9403302360e+03    2.2190807166e-10
6.9403638431e+03    2.2242068343e-10
6.9403974502e+03    2.2293507310e-10
6.9404310574e+03    2.2345124892e-10
6.9404646645e+03    2.2396921916e-10
6.9404982717e+03    2.2448899213e-10
6.9405318788e+03    2.2501057623e-10
6.9405654860e+03    2.2553397986e-10
6.9405990932e+03    2.2605921150e-10
6.9406327003e+03    2.2658627967e-10
6.9406663075e+03    2.2711519294e-10
6.9406999146e+03    2.2764595993e-10
6.9407335218e+03    2.2817858932e-10
6.9407671289e+03    2.2871308981e-10
6.9408007360e+03    2.2924947020e-10
6.9408343432e+03    2.2978773929e-10
6.9408679503e+03    2.3032790597e-10
6.9409015575e+03    2.3086997917e-10
6.9409351646e+03    2.3141396786e-10
6.9409687718e+03    2.3195988108e-10
6.9410023790e+03    2.3250772792e-10
6.9410359861e+03    2.3305751751e-10
6.9410695933e+03    2.3360925905e-10
6.9411032004e+03    2.3416296180e-10
6.9411368075e+03    2.3471863505e-10
6.9411704147e+03    2.3527628816e-10
6.9412040218e+03    2.3583593055e-10
6.9412376290e+03    2.3639757169e-10
6.9412712361e+03    2.3696122111e-10
6.9413048433e+03    2.3752688839e-10
6.9413384504e+03    2.3809458317e-10
6.9413720576e+03    2.3866431515e-10
6.9414056648e+03    2.3923609409e-10
6.9414392719e+03    2.3980992980e-10
