# ================================
#  NWChem spectrum parser ver 2.1
# ================================
# 
# Parser runtime options: {'verbose': False, 'datafmt': 'auto', 'header': True, 'delim': '    ', 'width': 1.5, 'makespec': True, 'units': 'ev', 'nbin': 20, 'npoints': 2000, 'cchar': '#'}
#
# The input appears to contain TDDFT data.
# Successfully parsed 100 TDDFT singlet excitations
# Roots were Lorentzian broadened with width 1.5 eV 
# Spectrum generated with 2000 points.
#
#  Energy [eV]         Abs. [au]   
#----------------------------------
6.9376091000e+03    3.6039063287e-11
6.9376442471e+03    3.6123603527e-11
6.9376793942e+03    3.6208441526e-11
6.9377145413e+03    3.6293578681e-11
6.9377496884e+03    3.6379016403e-11
6.9377848355e+03    3.6464756106e-11
6.9378199826e+03    3.6550799215e-11
6.9378551297e+03    3.6637147163e-11
6.9378902768e+03    3.6723801392e-11
6.9379254239e+03    3.6810763351e-11
6.9379605710e+03    3.6898034499e-11
6.9379957181e+03    3.6985616303e-11
6.9380308652e+03    3.7073510239e-11
6.9380660123e+03    3.7161717792e-11
6.9381011594e+03    3.7250240455e-11
6.9381363065e+03    3.7339079731e-11
6.9381714536e+03    3.7428237130e-11
6.9382066007e+03    3.7517714174e-11
6.9382417478e+03    3.7607512391e-11
6.9382768949e+03    3.7697633320e-11
6.9383120420e+03    3.7788078510e-11
6.9383471891e+03    3.7878849517e-11
6.9383823362e+03    3.7969947908e-11
6.9384174833e+03    3.8061375259e-11
6.9384526304e+03    3.8153133154e-11
6.9384877775e+03    3.8245223190e-11
6.9385229246e+03    3.8337646971e-11
6.9385580717e+03    3.8430406110e-11
6.9385932188e+03    3.8523502233e-11
6.9386283659e+03    3.8616936972e-11
6.9386635130e+03    3.8710711972e-11
6.9386986601e+03    3.8804828887e-11
6.9387338072e+03    3.8899289380e-11
6.9387689543e+03    3.8994095126e-11
6.9388041014e+03    3.9089247808e-11
6.9388392485e+03    3.9184749121e-11
6.9388743956e+03    3.9280600770e-11
6.9389095427e+03    3.9376804471e-11
6.9389446898e+03    3.9473361948e-11
6.9389798369e+03    3.9570274939e-11
6.9390149840e+03    3.9667545190e-11
6.9390501311e+03    3.9765174459e-11
6.9390852782e+03    3.9863164515e-11
