# ================================
#  NWChem spectrum parser ver 2.1
# ================================
# 
# Parser runtime options: {'verbose': False, 'datafmt': 'auto', 'header': True, 'delim': '    ', 'width': 1.5, 'makespec': True, 'units': 'ev', 'nbin': 20, 'npoints': 2000, 'cchar': '#'}
#
# The input appears to contain TDDFT data.
# Successfully parsed 100 TDDFT singlet excitations
# Roots were Lorentzian broadened with width 1.5 eV 
# Spectrum generated with 2000 points.
#
#  Energy [eV]         Abs. [au]   
#----------------------------------
6.9374250000e+03    2.9863351053e-11
6.9374601490e+03    2.9933408135e-11
6.9374952980e+03    3.0003711977e-11
6.9375304470e+03    3.0074263739e-11
6.9375655960e+03    3.0145064588e-11
6.9376007450e+03    3.0216115699e-11
6.9376358940e+03    3.0287418251e-11
6.9376710430e+03    3.0358973432e-11
6.9377061920e+03    3.0430782436e-11
6.9377413410e+03    3.0502846466e-11
6.9377764900e+03    3.0575166730e-11
6.9378116390e+03    3.0647744444e-11
6.9378467880e+03    3.0720580832e-11
6.9378819370e+03    3.0793677123e-11
6.9379170860e+03    3.0867034555e-11
6.9379522350e+03    3.0940654374e-11
6.9379873840e+03    3.1014537833e-11
6.9380225330e+03    3.1088686190e-11
6.9380576820e+03    3.1163100714e-11
6.9380928310e+03    3.1237782681e-11
6.9381279800e+03    3.1312733372e-11
6.9381631290e+03    3.1387954078e-11
6.9381982780e+03    3.1463446098e-11
6.9382334270e+03    3.1539210738e-11
6.9382685760e+03    3.1615249311e-11
6.9383037250e+03    3.1691563140e-11
6.9383388740e+03    3.1768153554e-11
6.9383740230e+03    3.1845021891e-11
6.9384091720e+03    3.1922169498e-11
6.9384443210e+03    3.1999597728e-11
6.9384794700e+03    3.2077307943e-11
6.9385146190e+03    3.2155301515e-11
6.9385497680e+03    3.2233579823e-11
6.9385849170e+03    3.2312144253e-11
6.9386200660e+03    3.2390996202e-11
6.9386552150e+03    3.2470137074e-11
6.9386903640e+03    3.2549568281e-11
6.9387255130e+03    3.2629291246e-11
6.9387606620e+03    3.2709307399e-11
6.9387958110e+03    3.2789618179e-11
6.9388309600e+03    3.2870225033e-11
6.9388661090e+03    3.2951129419e-11
6.9389012580e+03    3.3032332802e-11
6.9389364070e+03    3.3113836657e-11
6.9389715560e+03    3.3195642468e-11
6.9390067050e+03    3.3277751728e-11
6.9390418540e+03    3.3360165940e-11
6.9390770030e+03    3.3442886615e-11
6.9391121520e+03    3.3525915273e-11
6.9391473010e+03    3.3609253446e-11
6.9391824500e+03    3.3692902674e-11
6.9392175990e+03    3.3776864506e-11
6.9392527480e+03    3.3861140500e-11
6.9392878970e+03    3.3945732227e-11
6.9393230460e+03    3.4030641265e-11
6.9393581950e+03    3.4115869202e-11
6.9393933440e+03    3.4201417638e-11
6.9394284930e+03    3.4287288180e-11
6.9394636420e+03    3.4373482447e-11
6.9394987910e+03    3.4460002069e-11
6.9395339400e+03    3.4546848684e-11
6.9395690890e+03    3.4634023942e-11
6.9396042380e+03    3.4721529503e-11
6.9396393870e+03    7.9653623929e-11
6.9396745360e+03    7.9847072724e-11
6.9397096850e+03    8.0041227952e-11
6.9397448340e+03    8.0236093060e-11
6.9397799830e+03    8.0431671517e-11
6.9398151320e+03    1.8860270391e-10
6.9398502810e+03    1.8905303717e-10
6.9398854300e+03    1.8950498663e-10
6.9399205790e+03    1.8995856004e-10
6.9399557280e+03    1.9041376520e-10
6.9399908770e+03    1.9087060995e-10
6.9400260260e+03    1.9132910218e-10
6.9400611750e+03    1.9178924983e-10
6.9400963240e+03    2.5258829802e-10
6.9401314730e+03    2.5319337428e-10
6.9401666220e+03    2.5380062897e-10
6.9402017710e+03    2.5441007255e-10
6.9402369200e+03    2.5502171558e-10
6.9402720690e+03    2.5563556865e-10
6.9403072180e+03    2.5625164244e-10
6.9403423670e+03    2.5686994768e-10
6.9403775160e+03    2.5749049516e-10
6.9404126650e+03    2.5811329576e-10
6.9404478140e+03    2.5873836039e-10
6.9404829630e+03    2.5936570007e-10
6.9405181120e+03    2.5999532584e-10
6.9405532610e+03    2.6062724884e-10
6.9405884100e+03    2.6126148027e-10
6.9406235590e+03    2.6189803140e-10
6.9406587080e+03    2.6253691356e-10
6.9406938570e+03    2.6317813815e-10
6.9407290060e+03    2.6382171665e-10
6.9407641550e+03    2.6446766061e-10
6.9407993040e+03    2.6511598165e-10
6.9408344530e+03    2.6576669144e-10
6.9408696020e+03    2.6641980175e-10
6.9409047510e+03    2.6707532441e-10
6.9409399000e+03    2.6773327133e-10
6.9409750490e+03    2.6839365448e-10
6.9410101980e+03    2.6905648592e-10
6.9410453470e+03    2.6972177778e-10
6.9410804960e+03    2.7038954226e-10
6.9411156450e+03    2.7105979164e-10
6.9411507940e+03    2.7173253826e-10
6.9411859430e+03    2.7240779458e-10
6.9412210920e+03    2.7308557309e-10
6.9412562410e+03    2.7376588638e-10
6.9412913900e+03    2.7444874711e-10
6.9413265390e+03    2.7513416805e-10
6.9413616880e+03    2.7582216200e-10
6.9413968370e+03    2.7651274188e-10
6.9414319860e+03    2.7720592067e-10
6.9414671350e+03    2.7790171145e-10
6.9415022840e+03    2.7860012735e-10
6.9415374330e+03    2.7930118163e-10
6.9415725820e+03    2.8000488759e-10
6.9416077310e+03    2.8071125864e-10
6.9416428800e+03    2.8142030826e-10
6.9416780290e+03    2.8213205003e-10
6.9417131780e+03    2.8284649760e-10
6.9417483270e+03    2.8356366473e-10
6.9417834760e+03    2.8428356524e-10
6.9418186250e+03    2.8500621305e-10
6.9418537740e+03    2.8573162217e-10
6.9418889230e+03    2.8645980671e-10
6.9419240720e+03    2.8719078085e-10
6.9419592210e+03    2.8792455887e-10
6.9419943700e+03    2.8866115515e-10
6.9420295190e+03    2.8940058415e-10
6.9420646680e+03    2.9014286042e-10
6.9420998170e+03    2.9088799862e-10
6.9421349660e+03    2.9163601350e-10
6.9421701150e+03    2.9238691988e-10
6.9422052640e+03    2.9314073272e-10
6.9422404130e+03    2.9389746704e-10
6.9422755620e+03    2.9465713797e-10
6.9423107110e+03    2.9541976074e-10
6.9423458600e+03    2.9618535069e-10
6.9423810090e+03    2.9695392323e-10
6.9424161580e+03    2.9772549390e-10
6.9424513070e+03    2.9850007832e-10
6.9424864560e+03    2.9927769223e-10
6.9425216050e+03    3.0005835146e-10
6.9425567540e+03    3.0084207195e-10
6.9425919030e+03    3.0162886973e-10
6.9426270520e+03    3.0241876097e-10
6.9426622010e+03    3.0321176191e-10
6.9426973500e+03    3.0400788891e-10
6.9427324990e+03    3.0480715844e-10
6.9427676480e+03    3.0560958708e-10
6.9428027970e+03    3.0641519152e-10
6.9428379460e+03    3.0722398855e-10
6.9428730950e+03    3.0803599509e-10
6.9429082440e+03    3.0885122815e-10
6.9429433930e+03    3.0966970487e-10
6.9429785420e+03    3.1049144249e-10
6.9430136910e+03    3.1131645838e-10
6.9430488400e+03    3.1214477002e-10
