# ================================
#  NWChem spectrum parser ver 2.1
# ================================
# 
# Parser runtime options: {'verbose': False, 'datafmt': 'auto', 'header': True, 'delim': '    ', 'width': 1.5, 'makespec': True, 'units': 'ev', 'nbin': 20, 'npoints': 2000, 'cchar': '#'}
#
# The input appears to contain TDDFT data.
# Successfully parsed 100 TDDFT singlet excitations
# Roots were Lorentzian broadened with width 1.5 eV 
# Spectrum generated with 2000 points.
#
#  Energy [eV]         Abs. [au]   
#----------------------------------
6.9379036000e+03    2.2787983149e-11
6.9379383702e+03    2.2840864845e-11
6.9379731404e+03    2.2893930792e-11
6.9380079106e+03    2.2947181846e-11
6.9380426808e+03    2.3000618870e-11
6.9380774510e+03    2.3054242729e-11
6.9381122212e+03    2.3108054297e-11
6.9381469914e+03    2.3162054450e-11
6.9381817616e+03    2.3216244069e-11
6.9382165318e+03    2.3270624042e-11
6.9382513020e+03    2.3325195262e-11
6.9382860722e+03    2.3379958626e-11
6.9383208424e+03    2.3434915037e-11
6.9383556126e+03    2.3490065403e-11
6.9383903828e+03    2.3545410638e-11
6.9384251530e+03    2.3600951661e-11
6.9384599232e+03    2.3656689396e-11
6.9384946934e+03    2.3712624773e-11
6.9385294636e+03    2.3768758727e-11
6.9385642338e+03    2.3825092199e-11
6.9385990040e+03    2.3881626136e-11
6.9386337742e+03    2.3938361490e-11
6.9386685444e+03    2.3995299218e-11
6.9387033146e+03    2.4052440284e-11
6.9387380848e+03    2.4109785657e-11
6.9387728550e+03    2.4167336312e-11
6.9388076252e+03    2.4225093230e-11
6.9388423954e+03    2.4283057397e-11
6.9388771656e+03    2.4341229806e-11
6.9389119358e+03    2.4399611455e-11
6.9389467060e+03    2.4458203349e-11
6.9389814762e+03    2.4517006498e-11
6.9390162464e+03    2.4576021920e-11
6.9390510166e+03    2.4635250636e-11
6.9390857868e+03    2.4694693675e-11
6.9391205570e+03    2.4754352073e-11
6.9391553272e+03    2.4814226871e-11
6.9391900974e+03    2.4874319116e-11
6.9392248676e+03    2.4934629863e-11
6.9392596378e+03    2.4995160171e-11
6.9392944080e+03    2.5055911108e-11
6.9393291782e+03    2.5116883747e-11
6.9393639484e+03    2.5178079168e-11
6.9393987186e+03    2.5239498457e-11
6.9394334888e+03    2.5301142708e-11
6.9394682590e+03    2.5363013019e-11
6.9395030292e+03    2.5425110497e-11
6.9395377994e+03    6.7180757981e-11
6.9395725696e+03    6.7340163703e-11
6.9396073398e+03    6.7500137740e-11
6.9396421100e+03    1.2069177637e-10
6.9396768802e+03    1.2097596550e-10
6.9397116504e+03    1.2126115995e-10
6.9397464206e+03    1.7233307619e-10
6.9397811908e+03    1.7273816483e-10
6.9398159610e+03    1.7314468384e-10
6.9398507312e+03    1.7355263997e-10
6.9398855014e+03    1.7396204000e-10
6.9399202716e+03    1.7437289076e-10
6.9399550418e+03    1.7478519911e-10
6.9399898120e+03    1.7519897197e-10
6.9400245822e+03    2.3195088321e-10
6.9400593524e+03    2.3249844608e-10
6.9400941226e+03    2.3304795066e-10
6.9401288928e+03    2.3359940612e-10
6.9401636630e+03    2.3415282174e-10
6.9401984332e+03    2.3470820679e-10
6.9402332034e+03    2.3526557066e-10
6.9402679736e+03    2.3582492274e-10
6.9403027438e+03    2.3638627252e-10
6.9403375140e+03    2.3694962951e-10
6.9403722842e+03    2.3751500330e-10
6.9404070544e+03    2.3808240354e-10
6.9404418246e+03    2.3865183991e-10
6.9404765948e+03    2.3922332218e-10
6.9405113650e+03    2.3979686016e-10
6.9405461352e+03    2.4037246373e-10
6.9405809054e+03    2.4095014282e-10
6.9406156756e+03    2.4152990742e-10
6.9406504458e+03    2.4211176758e-10
6.9406852160e+03    2.4269573343e-10
6.9407199862e+03    2.4328181513e-10
6.9407547564e+03    2.4387002293e-10
6.9407895266e+03    2.4446036712e-10
6.9408242968e+03    2.4505285806e-10
6.9408590670e+03    2.4564750618e-10
6.9408938372e+03    2.4624432196e-10
6.9409286074e+03    2.4684331596e-10
6.9409633776e+03    2.4744449880e-10
6.9409981478e+03    2.4804788115e-10
6.9410329180e+03    2.4865347375e-10
6.9410676882e+03    2.4926128743e-10
6.9411024584e+03    2.4987133305e-10
6.9411372286e+03    2.5048362157e-10
6.9411719988e+03    2.5109816399e-10
6.9412067690e+03    2.5171497140e-10
6.9412415392e+03    2.5233405494e-10
6.9412763094e+03    2.5295542582e-10
6.9413110796e+03    2.5357909534e-10
6.9413458498e+03    2.5420507484e-10
6.9413806200e+03    2.5483337576e-10
6.9414153902e+03    2.5546400958e-10
6.9414501604e+03    2.5609698789e-10
6.9414849306e+03    2.5673232231e-10
6.9415197008e+03    2.5737002455e-10
6.9415544710e+03    2.5801010641e-10
6.9415892412e+03    2.5865257973e-10
6.9416240114e+03    2.5929745646e-10
6.9416587816e+03    2.5994474859e-10
6.9416935518e+03    2.6059446822e-10
6.9417283220e+03    2.6124662748e-10
6.9417630922e+03    2.6190123863e-10
6.9417978624e+03    2.6255831397e-10
6.9418326326e+03    2.6321786588e-10
6.9418674028e+03    2.6387990683e-10
6.9419021730e+03    2.6454444937e-10
6.9419369432e+03    2.6521150612e-10
6.9419717134e+03    2.6588108978e-10
6.9420064836e+03    2.6655321314e-10
6.9420412538e+03    2.6722788905e-10
6.9420760240e+03    2.6790513047e-10
6.9421107942e+03    2.6858495042e-10
6.9421455644e+03    2.6926736202e-10
6.9421803346e+03    2.6995237845e-10
6.9422151048e+03    2.7064001300e-10
6.9422498750e+03    2.7133027902e-10
6.9422846452e+03    2.7202318998e-10
6.9423194154e+03    2.7271875940e-10
6.9423541856e+03    2.7341700090e-10
6.9423889558e+03    2.7411792819e-10
6.9424237260e+03    2.7482155507e-10
6.9424584962e+03    2.7552789543e-10
6.9424932664e+03    2.7623696323e-10
6.9425280366e+03    2.7694877255e-10
6.9425628068e+03    2.7766333754e-10
6.9425975770e+03    2.7838067245e-10
6.9426323472e+03    2.7910079161e-10
6.9426671174e+03    2.7982370946e-10
6.9427018876e+03    2.8054944052e-10
6.9427366578e+03    2.8127799942e-10
6.9427714280e+03    2.8200940088e-10
6.9428061982e+03    2.8274365969e-10
6.9428409684e+03    2.8348079078e-10
6.9428757386e+03    2.8422080914e-10
6.9429105088e+03    2.8496372989e-10
6.9429452790e+03    2.8570956821e-10
6.9429800492e+03    2.8645833942e-10
6.9430148194e+03    2.8721005892e-10
6.9430495896e+03    2.8796474222e-10
6.9430843598e+03    2.8872240491e-10
6.9431191300e+03    2.8948306271e-10
6.9431539002e+03    2.9024673143e-10
6.9431886704e+03    2.9101342698e-10
6.9432234406e+03    3.0618863698e-10
6.9432582108e+03    3.0699487512e-10
6.9432929810e+03    3.0780430504e-10
6.9433277512e+03    3.0861694363e-10
6.9433625214e+03    3.0943280788e-10
6.9433972916e+03    3.1025191490e-10
6.9434320618e+03    3.1107428193e-10
6.9434668320e+03    3.1189992629e-10
6.9435016022e+03    3.1272886545e-10
6.9435363724e+03    3.1356111697e-10
6.9435711426e+03    3.1439669854e-10
6.9436059128e+03    3.1523562797e-10
6.9436406830e+03    3.1607792319e-10
6.9436754532e+03    3.1692360224e-10
6.9437102234e+03    3.1777268329e-10
6.9437449936e+03    3.1862518463e-10
6.9437797638e+03    3.1948112467e-10
6.9438145340e+03    3.2034052195e-10
6.9438493042e+03    3.2120339513e-10
6.9438840744e+03    3.2206976301e-10
6.9439188446e+03    3.2293964449e-10
6.9439536148e+03    3.2381305862e-10
6.9439883850e+03    3.3367995502e-10
6.9440231552e+03    3.4816905767e-10
6.9440579254e+03    3.6745014892e-10
6.9440926956e+03    3.6843315643e-10
6.9441274658e+03    3.7289596013e-10
6.9441622360e+03    3.7389498272e-10
6.9441970062e+03    3.7812355869e-10
6.9442317764e+03    3.7913816274e-10
6.9442665466e+03    3.8595949746e-10
6.9443013168e+03    3.9443065055e-10
6.9443360870e+03    3.9548841768e-10
6.9443708572e+03    4.2001045395e-10
6.9444056274e+03    4.2113126770e-10
6.9444403976e+03    4.2225659554e-10
6.9444751678e+03    4.2338646186e-10
6.9445099380e+03    4.3177742665e-10
6.9445447082e+03    4.3589651870e-10
6.9445794784e+03    4.3706394192e-10
6.9446142486e+03    4.3823608586e-10
6.9446490188e+03    4.4579085896e-10
6.9446837890e+03    4.4698733301e-10
6.9447185592e+03    4.4818865678e-10
6.9447533294e+03    4.4939485664e-10
6.9447880996e+03    4.5060595915e-10
6.9448228698e+03    4.5603770952e-10
6.9448576400e+03    4.5726848145e-10
6.9448924102e+03    4.5850427090e-10
6.9449271804e+03    4.8341153261e-10
6.9449619506e+03    4.8471239418e-10
6.9449967208e+03    4.8601854779e-10
6.9450314910e+03    4.8733002235e-10
6.9450662612e+03    4.8864684699e-10
6.9451010314e+03    5.0228732437e-10
6.9451358016e+03    5.0364353404e-10
6.9451705718e+03    5.0500528201e-10
6.9452053420e+03    5.0637259868e-10
6.9452401122e+03    5.3921548065e-10
6.9452748824e+03    5.4066709782e-10
6.9453096526e+03    5.4212463086e-10
6.9453444228e+03    5.5578151458e-10
6.9453791930e+03    5.7509651144e-10
6.9454139632e+03    5.7664178882e-10
6.9454487334e+03    5.9324448586e-10
6.9454835036e+03    6.1040971110e-10
6.9455182738e+03    6.1204522624e-10
6.9455530440e+03    6.1368738468e-10
6.9455878142e+03    6.1533622277e-10
6.9456225844e+03    6.3619761900e-10
6.9456573546e+03    6.5990699287e-10
6.9456921248e+03    6.9204005418e-10
6.9457268950e+03    7.3583591779e-10
6.9457616652e+03    7.5017022122e-10
